#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,4.000000000000003,-1401188.856531566,240814.50699248497,-1160374.349539081,286.91476147937476,987.8478700977632
2000,7.999999999999562,-1379120.4933359157,251724.58614013958,-1127395.9071957762,299.9134084274514,982.2508205260453
3000,11.999999999999122,-1377033.861523104,252087.34562351656,-1124946.5158995874,300.34561266608864,977.7081260785643
4000,15.999999999998682,-1376312.7762986356,252211.07889524213,-1124101.6974033935,300.49303278038144,976.8539486291752
5000,20.000000000000018,-1379841.6205799198,253499.75331987249,-1126341.8672600472,302.02840421537115,974.2025859879296
6000,24.000000000001354,-1380879.2622850118,251688.51347112242,-1129190.7488138895,299.8704301976253,977.5820050012645
7000,28.00000000000269,-1381752.0351447323,252969.9731223901,-1128782.0620223423,301.3972057012305,974.535937297457
8000,32.00000000000402,-1378841.6658565113,252825.39583172154,-1126016.2700247897,301.22495129934435,977.5045642660261
9000,36.000000000001805,-1380920.937897019,251745.99902313622,-1129174.9388738829,299.93892047942154,977.9601914002328
10000,39.99999999999959,-1380608.4141522013,252976.39410553974,-1127632.0200466616,301.4048558834054,979.0662551154136
11000,43.99999999999737,-1379542.46929958,252637.89955164507,-1126904.5697479348,301.00156172390615,980.5379719439877
12000,47.999999999995154,-1379549.7180404207,252726.5080798499,-1126823.2099605708,301.1071329997086,977.9941127123722
13000,51.99999999999294,-1378998.7143041706,252914.17972702882,-1126084.5345771417,301.330731513599,979.4475261048286
14000,55.99999999999072,-1378837.42391296,252752.89511022394,-1126084.5288027362,301.13857142349985,978.4816614922713
15000,59.9999999999885,-1381075.390564261,252152.93262330617,-1128922.4579409547,300.42375529393854,977.0955466725015
16000,63.99999999998629,-1381675.0214091921,252238.66110215845,-1129436.3603070336,300.52589517898565,977.0405072418894
17000,67.99999999999118,-1380229.9104400724,250923.22161775333,-1129306.688822319,298.95863492285656,978.7190568446509
18000,71.99999999999606,-1380425.6459213858,251328.01027863356,-1129097.6356427523,299.44091418226026,979.3379479053029
19000,76.00000000000095,-1379225.3584169736,252871.81782313512,-1126353.5405938386,301.2802600710632,979.5242429859045
20000,80.00000000000584,-1380556.0587092666,253293.44077032688,-1127262.6179389397,301.78259628343903,977.3526371484841
21000,84.00000000001073,-1379834.0740342727,252326.0351714954,-1127508.0388627774,300.62999567764905,975.8231669454676
22000,88.00000000001562,-1378675.5782438228,253258.48670182526,-1125417.0915419976,301.7409507930899,977.9397754410967
23000,92.0000000000205,-1379941.8747427007,252870.41325730536,-1127071.4614853954,301.2785866225859,977.5389789217171
24000,96.0000000000254,-1377350.868009841,254500.6772777544,-1122850.1907320865,303.22093975744144,977.5148594047563
25000,100.00000000003028,-1380812.6925527928,252775.91269725742,-1128036.7798555354,301.16599537555334,979.4040337492856
26000,104.00000000003517,-1381280.7507810937,251440.87081412566,-1129839.879966968,299.575380141249,977.2721557979849
27000,108.00000000004006,-1381861.053643438,252659.70399365673,-1129201.3496497814,301.02754029287655,975.2521421678949
